OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
324,2015,NonResidential,Large Office,7,DOWNTOWN,47.61591919,-122.34571548,1.0,12.0,234000,Office,19176010.0,145.67,0.27,37,4,0.90688,0.09312,234000.0,19500.0
325,2015,NonResidential,Retail Store,7,DOWNTOWN,47.61171108,-122.33681575,1.0,4.0,111077,No information,9898724.0,69.01,0.24,26,1,1.0,0.0,111077.0,27769.25
326,2015,NonResidential,Large Office,7,DOWNTOWN,47.61175275,-122.33667433,1.0,25.0,369996,Office,24882924.0,173.47,0.18,26,2,1.0,0.0,369996.0,14799.84
327,2015,NonResidential,Retail Store,7,DOWNTOWN,47.6124792,-122.33586069,1.0,10.0,693450,Retail Store,40433292.0,392.65,0.33,90,2,1.0,0.0,693450.0,69345.0
328,2015,NonResidential,Large Office,7,DOWNTOWN,47.61323929,-122.33440399,1.0,33.0,791396,Office,40451748.0,282.01,0.14,39,4,1.0,0.0,791396.0,23981.697
329,2015,NonResidential,Large Office,7,DOWNTOWN,47.61374903,-122.33507976,1.0,23.0,747747,Office,32141070.0,374.82,0.34,15,3,0.72574,0.27426,747747.0,32510.739
330,2015,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61378582,-122.33638554,1.0,10.0,63409,Office,3137206.0,152.04,2.31,89,2,0.87767,0.12233,63409.0,6340.9
331,2015,NonResidential,Large Office,7,DOWNTOWN,47.61391297,-122.33581187,1.0,17.0,204790,Office,7546235.0,94.89,0.32,85,4,0.85351,0.14649,204790.0,12046.471
332,2015,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61232632,-122.33842968,1.0,5.0,73399,Office,3655453.0,25.48,0.13,99,2,1.0,0.0,73399.0,14679.8
333,2015,NonResidential,Large Office,7,DOWNTOWN,47.61419225,-122.33715661,1.0,20.0,265851,Office,12943756.0,509.69,1.8,46,2,0.87838,0.12162,265851.0,13292.55
334,2015,NonResidential,Large Office,7,DOWNTOWN,47.61586761,-122.33737946,1.0,25.0,758043,Office,24641772.0,198.93,0.13,6,2,0.69834,0.30166,758043.0,30321.72
335,2015,NonResidential,Large Office,7,DOWNTOWN,47.61673455,-122.34198091,1.0,12.0,206000,Office,9273278.0,228.07,0.96,47,2,1.0,0.0,206000.0,17166.667
